title                                                                                                                                                                                                                                             ,url                                                                                                                                                       ,time_published  ,authors                   ,summary                                                                                                                                                                                                                                                                                                          ,banner_image                                                                                                                                    ,source           ,category_within_source ,source_domain    ,topics                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,overall_sentiment_score ,overall_sentiment_label ,ticker_sentiment
"Google's 'Unlawful Behavior' Stifles Market Entry For Rivals: DOJ Says Alphabet Must Sell Chrome To End Search Monopoly - Alphabet  ( NASDAQ:GOOG ) , Apple  ( NASDAQ:AAPL ) "                                                                   ,https://www.benzinga.com/tech/24/11/42105079/googles-unlawful-behavior-stifles-market-entry-for-rivals-doj-says-alphabet-must-sell-chrome-to-end-search-m ,20241121T074105 ,['Pooja Rajkumari']       ,The U.S. Department of Justice ( DOJ ) has demanded that Alphabet Inc.'s GOOGL GOOG Google divest its Chrome browser to dismantle its monopoly on online search. This move is part of broader efforts to restore competition in the search market.                                                               ,https://cdn.benzinga.com/files/images/story/2024/11/21/Why-It-Matters.jpeg?width=1200&height=800&fit=crop                                       ,Benzinga         ,General                ,www.benzinga.com ,"[{'topic': 'Technology', 'relevance_score': '1.0'}]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,0.041076                ,Neutral                 ,"[{'ticker': 'GOOG', 'relevance_score': '0.766141', 'ticker_sentiment_score': '-0.095523', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.188193', 'ticker_sentiment_score': '0.089065', 'ticker_sentiment_label': 'Neutral'}]"
Qualcomm's Shift From Handsets To AI And Automotive Wins Analysts' Confidence - Qualcomm  ( NASDAQ:QCOM )                                                                                                                                         ,https://www.benzinga.com/analyst-ratings/price-target/24/11/42098028/qualcomms-shift-from-handsets-to-ai-and-automotive-wins-analysts-confidence          ,20241120T200730 ,['Anusuya Lahiri']        ,Several Wall Street analysts reiterated Qualcomm Inc QCOM after the company's 2024 investor day. Cantor Fitzgerald analyst CJ Muse reiterated Qualcomm with a Neutral and a $160 price target. KeyBanc analyst John Vinh maintained Sector Weight on Qualcomm with a price target of $165.                       ,https://cdn.benzinga.com/files/images/story/2024/11/20/qualcomm.jpeg?width=1200&height=800&fit=crop                                             ,Benzinga         ,Trading                ,www.benzinga.com ,"[{'topic': 'Financial Markets', 'relevance_score': '0.108179'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Technology', 'relevance_score': '0.5'}]"                                                                                                                                                                                                                                                                                                ,0.210954                ,Somewhat-Bullish        ,"[{'ticker': 'SSNLF', 'relevance_score': '0.035608', 'ticker_sentiment_score': '0.060241', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.035608', 'ticker_sentiment_score': '0.060241', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.071145', 'ticker_sentiment_score': '0.057373', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'QCOM', 'relevance_score': '0.628066', 'ticker_sentiment_score': '0.295346', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
"Apple Stares At Multi-Billion Dollar Hit Amid Google's Antitrust Ruling: Here's What Investors Should Know - Alphabet  ( NASDAQ:GOOG ) , Apple  ( NASDAQ:AAPL ) "                                                                                ,https://www.benzinga.com/24/11/42083150/googles-20b-search-deal-with-apple-faces-collapse-after-antitrust-ruling-what-it-could-means-for-both-tech-giants ,20241120T102523 ,['Ananya Gairola']        ,Alphabet Inc.'s GOOG GOOGL lucrative agreement to pay Apple Inc. AAPL over $20 billion a year to make its search engine the default on iPhones is now under threat.                                                                                                                                              ,https://cdn.benzinga.com/files/images/story/2024/11/20/IPhone-Google.jpeg?width=1200&height=800&fit=crop                                        ,Benzinga         ,Markets                ,www.benzinga.com ,"[{'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.161647'}]"                                                                                                                                                                                                                                                                                                                                                 ,0.067268                ,Neutral                 ,"[{'ticker': 'MSFT', 'relevance_score': '0.20997', 'ticker_sentiment_score': '-0.03419', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.62523', 'ticker_sentiment_score': '-0.150588', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'AAPL', 'relevance_score': '0.405651', 'ticker_sentiment_score': '-0.157882', 'ticker_sentiment_label': 'Somewhat-Bearish'}]"
"Billionaire Izzy Englander Just Sold Apple, Amazon, and Nvidia but Bought 4 Other ""Magnificent Seven"" Stocks"                                                                                                                                  ,https://www.fool.com/investing/2024/11/20/billionaire-izzy-englander-sold-apple-nvidia/                                                                   ,20241120T085200 ,['Keith Speights']        ,"All billionaires don't think alike. For example, Warren Buffett is buying only a few stocks for Berkshire Hathaway's portfolio but has built a massive cash stockpile for the conglomerate. Meanwhile, Millennium Management hedge fund manager Israel ""Izzy"" Englander continues to buy and sell stocks ..." ,https://g.foolcdn.com/editorial/images/798251/artificial-intelligence-investing-algorithms.jpg                                                  ,Motley Fool      ,n/a                    ,www.fool.com     ,"[{'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.684621'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Technology', 'relevance_score': '0.333333'}]"                                                                                                                                                                                                                                                                       ,0.154781                ,Somewhat-Bullish        ,"[{'ticker': 'MSFT', 'relevance_score': '0.405029', 'ticker_sentiment_score': '0.14133', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.238718', 'ticker_sentiment_score': '0.185321', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'META', 'relevance_score': '0.120733', 'ticker_sentiment_score': '0.006994', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.238718', 'ticker_sentiment_score': '0.108113', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.295867', 'ticker_sentiment_score': '-0.013483', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSLA', 'relevance_score': '0.351392', 'ticker_sentiment_score': '0.268096', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.120733', 'ticker_sentiment_score': '0.100726', 'ticker_sentiment_label': 'Neutral'}]"
"Satya Nadella Defends Bing's Rise Against Google's Search Dominance - Says OpenAI's Partnership With Apple Is 'Incremental' For Microsoft - Alphabet  ( NASDAQ:GOOG ) , Apple  ( NASDAQ:AAPL ) "                                                 ,https://www.benzinga.com/24/11/42079954/microsoft-ceo-satya-nadella-defends-bings-rise-against-googles-search-dominance-says-openais-partnership-with-app ,20241120T032806 ,['Ananya Gairola']        ,Microsoft Corporation MSFT CEO Satya Nadella highlighted Bing's strong growth countering concerns about its minimal impact on Alphabet Inc.'s GOOG GOOGL Google's global search dominance.                                                                                                                       ,https://cdn.benzinga.com/files/images/story/2024/11/19/Microsoft-CEO-Satya-Nadella.jpeg?width=1200&height=800&fit=crop                          ,Benzinga         ,Markets                ,www.benzinga.com ,"[{'topic': 'Earnings', 'relevance_score': '0.360215'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.538269'}]"                                                                                                                                                                                                                                                                                                                                                 ,0.383168                ,Bullish                 ,"[{'ticker': 'MSFT', 'relevance_score': '0.716023', 'ticker_sentiment_score': '0.548507', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'GOOG', 'relevance_score': '0.407844', 'ticker_sentiment_score': '0.541759', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.252114', 'ticker_sentiment_score': '0.371219', 'ticker_sentiment_label': 'Bullish'}]"
"Not World War III But New Russian Nuclear Doctrine Brings Selling In Stocks, Walmart Breaks Out - Apple  ( NASDAQ:AAPL ) "                                                                                                                       ,https://www.benzinga.com/general/market-summary/24/11/42074369/not-world-war-iii-but-new-russian-nuclear-doctrine-brings-selling-in-stocks-walmart-breaks ,20241119T210910 ,['The Arora Report']      ,"To gain an edge, this is what you need to know today. Please click here for an enlarged chart of Walmart Inc WMT. Higher end consumers continue to shift to Walmart. E-commerce at Walmart, especially quick delivery, is growing rapidly. Stocks are being sold. Gold and silver are being bought."            ,https://thearorareport.com/wp-content/uploads/2024/11/2024-11-19_07h56_39.png                                                                   ,Benzinga         ,General                ,www.benzinga.com ,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.993856'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Finance', 'relevance_score': '0.25'}]"                                                                                                                                                                  ,0.203776                ,Somewhat-Bullish        ,"[{'ticker': 'MSFT', 'relevance_score': '0.109956', 'ticker_sentiment_score': '-0.152519', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'GOOG', 'relevance_score': '0.109956', 'ticker_sentiment_score': '-0.152519', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'META', 'relevance_score': '0.109956', 'ticker_sentiment_score': '-0.152519', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'NVDA', 'relevance_score': '0.109956', 'ticker_sentiment_score': '0.292049', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.109956', 'ticker_sentiment_score': '-0.152519', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'TSLA', 'relevance_score': '0.109956', 'ticker_sentiment_score': '-0.152519', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'IVZ', 'relevance_score': '0.055109', 'ticker_sentiment_score': '0.099599', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'WMT', 'relevance_score': '0.217834', 'ticker_sentiment_score': '0.227195', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'FOREX:JPY', 'relevance_score': '0.055109', 'ticker_sentiment_score': '0.082837', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:USD', 'relevance_score': '0.055109', 'ticker_sentiment_score': '0.082837', 'ticker_sentiment_label': 'Neutral'}]"
"Apple's $100 Million Gamble, Tech Giant Moves to Lift Indonesia's iPhone Ban - Alphabet  ( NASDAQ:GOOG ) , Apple  ( NASDAQ:AAPL ) "                                                                                                              ,https://www.benzinga.com/24/11/42071334/apples-100-million-gamble-tech-giant-moves-to-lift-indonesias-iphone-ban                                          ,20241119T183307 ,['Anusuya Lahiri']        ,Apple Inc AAPL is stepping up its efforts to address a sales ban on its iPhone 16 in Indonesia by proposing a substantial $100 million investment. The tech giant aims to strengthen its position in one of Southeast Asia's largest markets by meeting the country's stringent domestic content ...             ,https://cdn.benzinga.com/files/images/story/2024/11/19/iPhone.png?width=1200&height=800&fit=crop                                                ,Benzinga         ,News                   ,www.benzinga.com ,"[{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.365926'}]"                                                                                                                                                                                                                                                                                                                                                                                                       ,0.01205                 ,Neutral                 ,"[{'ticker': 'GOOG', 'relevance_score': '0.227716', 'ticker_sentiment_score': '0.077932', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.614697', 'ticker_sentiment_score': '-0.152219', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'FOREX:IDR', 'relevance_score': '0.076847', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]"
"S&P 500 To Reach 6,500 By End Of 2025, Analysts Predict: Could It Spark M&A Revival? - Apple  ( NASDAQ:AAPL ) , Amazon.com  ( NASDAQ:AMZN ) "                                                                                                    ,https://www.benzinga.com/economics/macro-economic-events/24/11/42069891/sp-500-to-reach-6500-by-end-of-2025-analysts-predict-could-it-spark-ma-revival    ,20241119T173725 ,['Piero Cingari']         ,"Wall Street analysts are painting optimistic pictures for the U.S. stock market heading into 2025, with the S&P 500 index - as tracked by the SPDR S&P 500 ETF Trust SPY - expected to climb to 6,500 points by year's end, according to both Goldman Sachs and Morgan Stanley."                                ,https://cdn.benzinga.com/files/images/story/2024/11/19/5-Proven-Strategies-From-Fund-Manager-Wh.jpeg?width=1200&height=800&fit=crop             ,Benzinga         ,Mergers                ,www.benzinga.com ,"[{'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.310843'}, {'topic': 'Economy - Fiscal', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.986714'}, {'topic': 'Manufacturing', 'relevance_score': '0.333333'}, {'topic': 'Earnings', 'relevance_score': '0.838487'}, {'topic': 'Mergers & Acquisitions', 'relevance_score': '0.158519'}]"                          ,0.362428                ,Bullish                 ,"[{'ticker': 'MSFT', 'relevance_score': '0.087503', 'ticker_sentiment_score': '0.188254', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'GOOG', 'relevance_score': '0.087503', 'ticker_sentiment_score': '0.188254', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'META', 'relevance_score': '0.087503', 'ticker_sentiment_score': '0.188254', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'NVDA', 'relevance_score': '0.087503', 'ticker_sentiment_score': '0.188254', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.087503', 'ticker_sentiment_score': '0.188254', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'TSLA', 'relevance_score': '0.087503', 'ticker_sentiment_score': '0.188254', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MS', 'relevance_score': '0.130926', 'ticker_sentiment_score': '0.192649', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'GS', 'relevance_score': '0.130926', 'ticker_sentiment_score': '0.211659', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Wearable Biometric Monitor Market to Surge to US$ 25.03 Billion with Growing at an 8.9% CAGR by 2034 | Fact.MR Report                                                                                                                             ,https://www.benzinga.com/pressreleases/24/11/g42059684/wearable-biometric-monitor-market-to-surge-to-us-25-03-billion-with-growing-at-an-8-9-cagr-by-2034 ,20241119T123000 ,['Globe Newswire']        ,"Rockville, MD, Nov. 19, 2024 ( GLOBE NEWSWIRE ) -- According to Fact.MR, a market research and competitive intelligence provider, the global wearable biometric monitor market is estimated to reach a valuation of US$ 10,672.2 million in 2024 and is expected to grow at a CAGR of 8.9% during the ..."      ,https://ml.globenewswire.com/Resource/Download/70cf4389-af98-49b4-8b61-4920de78795e/wearable-biometric-monitor-market.png                       ,Benzinga         ,News                   ,www.benzinga.com ,"[{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.495866'}, {'topic': 'Manufacturing', 'relevance_score': '0.25'}, {'topic': 'Mergers & Acquisitions', 'relevance_score': '0.108179'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}]"                                                                                                                                                ,0.324756                ,Somewhat-Bullish        ,"[{'ticker': 'SSNLF', 'relevance_score': '0.029043', 'ticker_sentiment_score': '0.093714', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.058047', 'ticker_sentiment_score': '0.084972', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'OMRNF', 'relevance_score': '0.029043', 'ticker_sentiment_score': '0.093714', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.058047', 'ticker_sentiment_score': '0.084972', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOSL', 'relevance_score': '0.029043', 'ticker_sentiment_score': '0.093714', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'APG', 'relevance_score': '0.029043', 'ticker_sentiment_score': '0.174601', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'WLDS', 'relevance_score': '0.029043', 'ticker_sentiment_score': '0.078785', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'XIACY', 'relevance_score': '0.029043', 'ticker_sentiment_score': '0.093714', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GRMN', 'relevance_score': '0.201164', 'ticker_sentiment_score': '0.178379', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
"A Must See Chart For Prudent Investors, Trump To Help Tesla Dominate, Nvidia Heat Problem"                                                                                                                                                       ,https://www.benzinga.com/general/market-summary/24/11/42046649/a-must-see-chart-for-prudent-investors-trump-to-help-tesla-dominate-nvidia-heat-problem    ,20241118T192617 ,['The Arora Report']      ,"To gain an edge, this is what you need to know today. Please click here for an enlarged chart comparing SPDR S&P Biotech ETF XBI to Dogecoin to United States Dollar DOGE/USD. There is an old saying on Wall Street that no one has ever been fired for losing clients' money."                                ,https://thearorareport.com/wp-content/uploads/2024/11/2024-11-18_08h07_41-scaled.jpg                                                            ,Benzinga         ,General                ,www.benzinga.com ,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.999346'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}]"                                                                                                                                                                                                                                                                                       ,0.200179                ,Somewhat-Bullish        ,"[{'ticker': 'MSFT', 'relevance_score': '0.106541', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOG', 'relevance_score': '0.106541', 'ticker_sentiment_score': '0.172774', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'META', 'relevance_score': '0.106541', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.106541', 'ticker_sentiment_score': '0.172774', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'IVZ', 'relevance_score': '0.05339', 'ticker_sentiment_score': '0.348984', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'FOREX:USD', 'relevance_score': '0.106541', 'ticker_sentiment_score': '0.12905', 'ticker_sentiment_label': 'Neutral'}]"
